Trimestre;Prix_moyen;Prix_moyen_NY
T1 1987;;75.98640082594899
T2 1987;;79.59888635325467
T3 1987;;82.099700298716
T4 1987;;83.77836174510367
T1 1988;;84.42987788193867
T2 1988;;84.68383921504567
T3 1988;;84.55776838176367
T4 1988;;84.448385268641
T1 1989;;84.31435604541967
T2 1989;;83.440568168876
T3 1989;;81.88153693198333
T4 1989;;81.56078448132367
T1 1990;;80.94185959312466
T2 1990;;79.566620552635
T3 1990;;77.50715075714567
T4 1990;;75.936801386014
T1 1991;;74.14403894604766
T2 1991;;73.19999558192433
T3 1991;;74.18027011529367
T4 1991;;74.649527912386
T1 1992;;74.84274487907601
T2 1992;;75.12530068791266
T3 1992;;75.05199340507266
T4 1992;;75.21575289447134
T1 1993;;75.872023612376
T2 1993;;76.18063867588567
T3 1993;;76.30866627707034
T4 1993;;76.68139567696733
T1 1994;;76.999309943306
T2 1994;;77.873264586436
T3 1994;;78.33267728505767
T4 1994;;78.43885476153567
T1 1995;;78.63985276956633
T2 1995;;78.43749354019866
T3 1995;;78.465297364709
T4 1995;;78.75698443832432
T1 1996;2606.190476190476;79.22340995878433
T2 1996;2544.7619047619046;79.58356707530633
T3 1996;2573.3333333333335;79.58444954579066
T4 1996;2513.3333333333335;80.00183259379033
T1 1997;2459.0476190476193;80.540211434897
T2 1997;2494.285714285714;81.00739669747033
T3 1997;2484.285714285714;81.92711650237767
T4 1997;2486.190476190476;82.81216493425934
T1 1998;2470.0;84.36183223353
T2 1998;2494.7619047619046;85.96204089759567
T3 1998;2537.1428571428573;87.68521643803801
T4 1998;2583.809523809524;89.18573303893133
T1 1999;2663.3333333333335;90.55131629833132
T2 1999;2715.2380952380954;93.103459987555
T3 1999;2834.285714285714;95.918359028734
T4 1999;2905.2380952380954;98.447886617499
T1 2000;3031.4285714285716;101.213506022643
T2 2000;3161.4285714285716;104.70435718769566
T3 2000;3251.904761904762;107.95685035980364
T4 2000;3253.809523809524;110.75407716198566
T1 2001;3379.5238095238096;114.16747837276966
T2 2001;3401.904761904762;117.13941439100532
T3 2001;3542.3809523809523;120.597526345971
T4 2001;3539.5238095238096;124.024896920187
T1 2002;3566.6666666666665;126.26608763038566
T2 2002;3674.285714285714;130.55781985374767
T3 2002;3849.5238095238096;136.89480511602198
T4 2002;3947.142857142858;142.852948062545
T1 2003;4058.571428571429;147.93080339116798
T2 2003;4151.9047619047615;151.35961836797068
T3 2003;4293.809523809524;154.71319066403933
T4 2003;4415.238095238095;159.96247363964537
T1 2004;4567.619047619048;165.52430686513534
T2 2004;4726.190476190476;171.21129958097467
T3 2004;4885.238095238095;177.3513466704503
T4 2004;5050.0;182.88423364267803
T1 2005;5173.333333333333;190.05092178072036
T2 2005;5329.047619047619;196.7000204611163
T3 2005;5581.9047619047615;201.79512576217667
T4 2005;5672.380952380952;209.35091229563167
T1 2006;5838.571428571428;214.7592642932707
T2 2006;5949.523809523809;216.4209670718357
T3 2006;6195.714285714285;213.724000370347
T4 2006;6222.380952380952;213.14621584451433
T1 2007;6410.476190476191;213.4896376251007
T2 2007;6490.476190476191;211.73679440580904
T3 2007;6768.571428571428;206.00412222482169
T4 2007;6936.666666666667;202.99059216347464
T1 2008;7019.523809523809;199.69030219538664
T2 2008;7138.0952380952385;195.95089905567627
T3 2008;7281.9047619047615;191.0967998502157
T4 2008;7078.0952380952385;185.54298842532765
T1 2009;6940.952380952381;179.03202140417068
T2 2009;6622.857142857143;172.83572246278
T3 2009;6784.285714285715;172.34488238937266
T4 2009;6801.9047619047615;172.04007617720632
T1 2010;7046.666666666667;172.35421476259833
T2 2010;7250.476190476191;172.270988855072
T3 2010;7673.333333333333;172.09883138409168
T4 2010;7960.0;168.792155059547
T1 2011;8467.619047619048;166.4351881125447
T2 2011;8881.42857142857;166.75044625321632
T3 2011;9135.238095238095;166.89638532371066
T4 2011;9080.47619047619;164.14724283879198
T1 2012;9026.666666666666;161.2556405116353
T2 2012;9155.714285714286;161.75858580267098
T3 2012;9180.47619047619;162.96647777087767
T4 2012;9098.09523809524;162.7726242267057
T1 2013;9080.952380952382;163.278431097577
T2 2013;8980.952380952382;165.97199191107902
T3 2013;9000.0;169.06806261723332
T4 2013;8939.52380952381;172.23975585052298
T1 2014;8902.380952380952;173.51765676127567
T2 2014;8934.761904761905;173.6565574674
T3 2014;8862.857142857143;174.80046162355234
T4 2014;8764.761904761905;175.00209020651732
T1 2015;8637.142857142857;176.55717305316534
T2 2015;8720.47619047619;178.172049096622
T3 2015;8840.47619047619;179.100588348841
T4 2015;8769.52380952381;180.14442661821636
T1 2016;8790.0;180.83179696643035
T2 2016;8885.714285714286;182.331076713131
T3 2016;9043.333333333334;183.57480345094405
T4 2016;9051.90476190476;184.839382987607
T1 2017;9265.238095238095;187.72425074037935
T2 2017;9466.190476190475;189.730323831876
T3 2017;9710.952380952382;192.096785211765
T4 2017;9779.52380952381;195.158183199685
T1 2018;9862.380952380952;197.54453981675863
T2 2018;10090.0;197.65301362604433
T3 2018;10331.42857142857;198.7056171092257
T4 2018;10289.047619047618;200.70230251819433
T1 2019;10398.57142857143;201.52884786112537
T2 2019;10628.09523809524;200.594586615154
T3 2019;10791.90476190476;200.838208392954
T4 2019;10972.380952380952;202.61191245785832
T1 2020;11089.52380952381;204.546846998173
T2 2020;11339.52380952381;204.183040935058
T3 2020;11474.285714285714;208.096444736304
T4 2020;11450.952380952382;220.36551503577564
