Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Daily Return;Annual Volatility
2000-08-23;31.950000762939453;32.79999923706055;31.950000762939453;32;79385;0.0;0.0;;0.786327727009561
2000-08-24;31.899999618530273;32.2400016784668;31.399999618530273;31;72978;0.0;0.0;-0.013104526873382372;0.786327727009561
2000-08-25;31.700000762939453;32.099998474121094;31.31999969482422;32;44601;0.0;0.0;0.013278535802647262;0.786327727009561
2000-08-28;32.040000915527344;32.91999816894531;31.860000610351562;32;46770;0.0;0.0;0.025585014488113345;0.786327727009561
2000-08-29;32.81999969482422;33.029998779296875;32.560001373291016;32;49131;0.0;0.0;-0.004563362216484235;0.786327727009561
2000-08-30;32.75;33.400001525878906;32.099998474121094;33;79214;0.0;0.0;0.020782404639567043;0.786327727009561
2000-08-31;33.25;33.70000076293945;32.970001220703125;33;56895;0.0;0.0;-0.008982126887789654;0.786327727009561
2000-09-01;33.04999923706055;33.45000076293945;32.75;33;45869;0.0;0.0;0.008459293259879042;0.786327727009561
2000-09-05;33.95000076293945;33.9900016784668;33.41999816894531;33;55722;0.0;0.0;0.012582329404012382;0.786327727009561
2000-09-06;33.9900016784668;34.95000076293945;33.83000183105469;34;74692;0.0;0.0;0.03402371455138886;0.786327727009561
2000-09-07;34.5;35.5;34.45000076293945;35;74105;0.0;0.0;0.010872705574249464;0.786327727009561
2000-09-08;34.54999923706055;34.779998779296875;33.400001525878906;33;88415;0.0;0.0;-0.046136455806307985;0.786327727009561
2000-09-11;33.79999923706055;35.849998474121094;33.75;35;101518;0.0;0.0;0.04154295784827533;0.786327727009561
2000-09-12;35.45000076293945;35.5;34.099998474121094;34;91911;0.0;0.0;-0.02564096154719786;0.786327727009561
2000-09-13;34.0;34.7400016784668;33.5;33;94630;0.0;0.0;-0.011695950788175535;0.786327727009561
2000-09-14;33.779998779296875;34.5;33.119998931884766;34;98068;0.0;0.0;0.008875717273141515;0.786327727009561
2000-09-15;34.5;36.099998474121094;34.45000076293945;35;85839;0.0;0.0;0.051319650390251326;0.786327727009561
2000-09-18;36.20000076293945;37.150001525878906;36.150001525878906;36;59663;0.0;0.0;0.028730896452831445;0.786327727009561
2000-09-19;36.54999923706055;37.0;36.150001525878906;36;62731;0.0;0.0;-0.010303716299069343;0.786327727009561
2000-09-20;37.5;37.79999923706055;36.5;37;119080;0.0;0.0;0.027397260273972712;0.786327727009561
2000-09-21;34.650001525878906;35.5;33.349998474121094;33;110851;0.0;0.0;-0.09466664632161459;0.786327727009561
2000-09-22;34.0;34.400001525878906;32.5;32;85083;0.0;0.0;-0.03829158196896576;0.786327727009561
2000-09-25;31.399999618530273;32.099998474121094;31.049999237060547;31;104683;0.0;0.0;-0.033078155607394466;0.786327727009561
2000-09-26;32.0;32.04999923706055;31.399999618530273;31;67727;0.0;0.0;-0.0022172852550168543;0.786327727009561
2000-09-27;31.950000762939453;32.25;31.399999618530273;31;86160;0.0;0.0;0.0;0.786327727009561
2000-09-28;31.100000381469727;32.41999816894531;30.25;30;77513;0.0;0.0;-0.03809526231553817;0.786327727009561
2000-09-29;30.700000762939453;30.950000762939453;30.149999618530273;30;57628;0.0;0.0;0.018481893973319563;0.786327727009561
2000-10-02;31.450000762939453;32.349998474121094;31.350000381469727;32;59618;0.0;0.0;0.041801713869527024;0.786327727009561
