Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;Daily Return;Year;Annual Volatility
2000-08-30;273.8999938964844;273.8999938964844;273.8999938964844;273;0;0.0;0.0;;2000;0.10542488959212902
2000-08-31;274.79998779296875;278.29998779296875;274.79998779296875;278;0;0.0;0.0;0.016064235102346336;2000;0.10542488959212902
2000-09-01;277.0;277.0;277.0;277;0;0.0;0.0;-0.004671174451993942;2000;0.10542488959212902
2000-09-05;275.79998779296875;275.79998779296875;275.79998779296875;275;2;0.0;0.0;-0.004332174032603775;2000;0.10542488959212902
2000-09-06;274.20001220703125;274.20001220703125;274.20001220703125;274;0;0.0;0.0;-0.005801217029561823;2000;0.10542488959212902
2000-09-07;274.0;274.0;274.0;274;125;0.0;0.0;-0.0007294390887198077;2000;0.10542488959212902
2000-09-08;273.29998779296875;273.29998779296875;273.29998779296875;273;0;0.0;0.0;-0.0025547890767564363;2000;0.10542488959212902
2000-09-11;273.1000061035156;273.1000061035156;273.1000061035156;273;0;0.0;0.0;-0.0007317295952630198;2000;0.10542488959212902
2000-09-12;272.8999938964844;272.8999938964844;272.8999938964844;272;0;0.0;0.0;-0.0007323771606048135;2000;0.10542488959212902
2000-09-13;272.79998779296875;272.79998779296875;272.79998779296875;272;0;0.0;0.0;-0.0003664569650139171;2000;0.10542488959212902
2000-09-14;272.3999938964844;272.3999938964844;272.3999938964844;272;0;0.0;0.0;-0.0014662533518438048;2000;0.10542488959212902
2000-09-15;272.29998779296875;272.29998779296875;272.29998779296875;272;0;0.0;0.0;-0.00036712960997209443;2000;0.10542488959212902
2000-09-18;271.3999938964844;271.3999938964844;271.3999938964844;271;0;0.0;0.0;-0.0033051558458704333;2000;0.10542488959212902
2000-09-19;271.8999938964844;271.8999938964844;271.8999938964844;271;0;0.0;0.0;0.0018422992308197994;2000;0.10542488959212902
2000-09-20;269.0;269.0;269.0;269;0;0.0;0.0;-0.010665663705709538;2000;0.10542488959212902
2000-09-21;270.29998779296875;270.29998779296875;270.29998779296875;270;0;0.0;0.0;0.00483266837534857;2000;0.10542488959212902
